provider_event_id,bank_transaction_id,bank_reference,direction,amount_minor,currency,occurred_at
bt-SW-00001,BANKTXN-SW-00001,SYNTHUTRSW00001,CREDIT,4794124,INR,2026-07-02T10:35:00+00:00
bt-SW-00002,BANKTXN-SW-00002,SYNTHUTRSW00002,CREDIT,4794124,INR,2026-07-02T10:35:00+00:00
bt-SW-00003,BANKTXN-SW-00003,SYNTHUTRSW00003,CREDIT,1347432,INR,2026-07-02T10:35:00+00:00
bt-SW-00004,BANKTXN-SW-00004,SYNTHUTRSW00004,CREDIT,1347432,INR,2026-07-02T10:35:00+00:00
bt-SW-00005,BANKTXN-SW-00005,SYNTHUTRSW00005,CREDIT,3109834,INR,2026-07-02T10:35:00+00:00
bt-SW-00006,BANKTXN-SW-00006,SYNTHUTRSW00006,CREDIT,3109834,INR,2026-07-02T10:35:00+00:00
bt-SW-00007,BANKTXN-SW-00007,SYNTHUTRSW00007,CREDIT,4759950,INR,2026-07-02T10:35:00+00:00
bt-SW-00008,BANKTXN-SW-00008,SYNTHUTRSW00008,CREDIT,4759950,INR,2026-07-02T10:35:00+00:00
bt-SW-00009,BANKTXN-SW-00009,SYNTHUTRSW00009,CREDIT,4398682,INR,2026-07-02T10:35:00+00:00
bt-SW-00010,BANKTXN-SW-00010,SYNTHUTRSW00010,CREDIT,4398682,INR,2026-07-02T10:35:00+00:00
bt-SW-00011,BANKTXN-SW-00011,SYNTHUTRSW00011,CREDIT,87876,INR,2026-07-02T10:35:00+00:00
bt-SW-00012,BANKTXN-SW-00012,SYNTHUTRSW00012,CREDIT,87876,INR,2026-07-02T10:35:00+00:00
bt-SW-00013,BANKTXN-SW-00013,SYNTHUTRSW00013,CREDIT,795766,INR,2026-07-02T10:35:00+00:00
bt-SW-00014,BANKTXN-SW-00014,SYNTHUTRSW00014,CREDIT,795766,INR,2026-07-02T10:35:00+00:00
bt-SW-00015,BANKTXN-SW-00015,SYNTHUTRSW00015,CREDIT,639542,INR,2026-07-02T10:35:00+00:00
bt-SW-00016,BANKTXN-SW-00016,SYNTHUTRSW00016,CREDIT,639542,INR,2026-07-02T10:35:00+00:00
bt-SW-00017,BANKTXN-SW-00017,SYNTHUTRSW00017,CREDIT,2924318,INR,2026-07-02T10:35:00+00:00
bt-SW-00018,BANKTXN-SW-00018,SYNTHUTRSW00018,CREDIT,2924318,INR,2026-07-02T10:35:00+00:00
bt-SW-00019,BANKTXN-SW-00019,SYNTHUTRSW00019,CREDIT,419852,INR,2026-07-02T10:35:00+00:00
bt-SW-00020,BANKTXN-SW-00020,SYNTHUTRSW00021,CREDIT,3847016,INR,2026-07-02T10:35:00+00:00
bt-SW-00021,BANKTXN-SW-00021,SYNTHUTRSW00023,CREDIT,1220500,INR,2026-07-02T10:35:00+00:00
bt-SW-00022,BANKTXN-SW-00022,SYNTHUTRSW00025,CREDIT,3973948,INR,2026-07-02T10:35:00+00:00
bt-SW-00023,BANKTXN-SW-00023,SYNTHUTRSW00026,CREDIT,3973948,INR,2026-07-02T10:35:00+00:00
bt-SW-00024,BANKTXN-SW-00024,SYNTHUTRSW00027,CREDIT,278274,INR,2026-07-02T10:35:00+00:00
bt-SW-00025,BANKTXN-SW-00025,SYNTHUTRSW00028,CREDIT,278274,INR,2026-07-02T10:35:00+00:00
bt-SW-00026,BANKTXN-SW-00026,SYNTHUTRSW00029,CREDIT,2860852,INR,2026-07-02T10:35:00+00:00
bt-SW-00027,BANKTXN-SW-00027,SYNTHUTRSW00030,CREDIT,2860852,INR,2026-07-02T10:35:00+00:00
bt-SW-00028,BANKTXN-SW-00028,SYNTHUTRSW00031,CREDIT,2055322,INR,2026-07-02T10:35:00+00:00
