provider_event_id,event_id,payment_id,merchant_id,event_type,amount_minor,currency,occurred_at
pe-SW-00001-1,evt-SW-00001-1,pay-SW-00001,SYNTH-MERCHANT-SW-00001,CAPTURE,4910000,INR,2026-07-01T09:00:00+00:00
pe-SW-00002-1,evt-SW-00002-1,pay-SW-00002,SYNTH-MERCHANT-SW-00002,CAPTURE,4920000,INR,2026-07-01T09:00:00+00:00
pe-SW-00003-1,evt-SW-00003-1,pay-SW-00003,SYNTH-MERCHANT-SW-00003,CAPTURE,1380000,INR,2026-07-01T09:00:00+00:00
pe-SW-00004-1,evt-SW-00004-1,pay-SW-00004,SYNTH-MERCHANT-SW-00004,CAPTURE,1390000,INR,2026-07-01T09:00:00+00:00
pe-SW-00005-1,evt-SW-00005-1,pay-SW-00005,SYNTH-MERCHANT-SW-00005,CAPTURE,3185000,INR,2026-07-01T09:00:00+00:00
pe-SW-00006-1,evt-SW-00006-1,pay-SW-00006,SYNTH-MERCHANT-SW-00006,CAPTURE,3195000,INR,2026-07-01T09:00:00+00:00
pe-SW-00007-1,evt-SW-00007-1,pay-SW-00007,SYNTH-MERCHANT-SW-00007,CAPTURE,4875000,INR,2026-07-01T09:00:00+00:00
pe-SW-00008-1,evt-SW-00008-1,pay-SW-00008,SYNTH-MERCHANT-SW-00008,CAPTURE,4875000,USD,2026-07-01T09:00:00+00:00
pe-SW-00009-1,evt-SW-00009-1,pay-SW-00009,SYNTH-MERCHANT-SW-00009,CAPTURE,4505000,INR,2026-07-01T09:00:00+00:00
pe-SW-00010-1,evt-SW-00010-1,pay-SW-00010,SYNTH-MERCHANT-SW-00010,CAPTURE,4505000,USD,2026-07-01T09:00:00+00:00
pe-SW-00011-1,evt-SW-00011-1,pay-SW-00011,SYNTH-MERCHANT-SW-00011,CAPTURE,90000,INR,2026-07-01T09:00:00+00:00
pe-SW-00012-1,evt-SW-00012-1,pay-SW-00012,SYNTH-MERCHANT-SW-00012,CAPTURE,90000,USD,2026-07-01T09:00:00+00:00
pe-SW-00013-1,evt-SW-00013-1,pay-SW-00013,SYNTH-MERCHANT-SW-00013,CAPTURE,815000,INR,2026-07-01T09:00:00+00:00
pe-SW-00015-1,evt-SW-00015-1,pay-SW-00015,SYNTH-MERCHANT-SW-00015,CAPTURE,655000,INR,2026-07-01T09:00:00+00:00
pe-SW-00017-1,evt-SW-00017-1,pay-SW-00017,SYNTH-MERCHANT-SW-00017,CAPTURE,2995000,INR,2026-07-01T09:00:00+00:00
