provider_event_id,payout_id,merchant_id,net_minor,currency,utr,occurred_at
po-SW-00001-1,payout-SW-00001,SYNTH-MERCHANT-SW-00001,4794124,INR,SYNTHUTRSW00001,2026-07-02T10:00:00+00:00
po-SW-00002-1,payout-SW-00002,SYNTH-MERCHANT-SW-00002,4794124,INR,SYNTHUTRSW00002,2026-07-02T10:00:00+00:00
po-SW-00003-1,payout-SW-00003,SYNTH-MERCHANT-SW-00003,1347432,INR,SYNTHUTRSW00003,2026-07-02T10:00:00+00:00
po-SW-00004-1,payout-SW-00004,SYNTH-MERCHANT-SW-00004,1347432,INR,SYNTHUTRSW00004,2026-07-02T10:00:00+00:00
po-SW-00005-1,payout-SW-00005,SYNTH-MERCHANT-SW-00005,3109834,INR,SYNTHUTRSW00005,2026-07-02T10:00:00+00:00
po-SW-00006-1,payout-SW-00006,SYNTH-MERCHANT-SW-00006,3109834,INR,SYNTHUTRSW00006,2026-07-02T10:00:00+00:00
po-SW-00007-1,payout-SW-00007,SYNTH-MERCHANT-SW-00007,4759950,INR,SYNTHUTRSW00007,2026-07-02T10:00:00+00:00
po-SW-00008-1,payout-SW-00008,SYNTH-MERCHANT-SW-00008,4759950,INR,SYNTHUTRSW00008,2026-07-02T10:00:00+00:00
po-SW-00009-1,payout-SW-00009,SYNTH-MERCHANT-SW-00009,4398682,INR,SYNTHUTRSW00009,2026-07-02T10:00:00+00:00
po-SW-00010-1,payout-SW-00010,SYNTH-MERCHANT-SW-00010,4398682,INR,SYNTHUTRSW00010,2026-07-02T10:00:00+00:00
po-SW-00011-1,payout-SW-00011,SYNTH-MERCHANT-SW-00011,87876,INR,SYNTHUTRSW00011,2026-07-02T10:00:00+00:00
po-SW-00012-1,payout-SW-00012,SYNTH-MERCHANT-SW-00012,87876,INR,SYNTHUTRSW00012,2026-07-02T10:00:00+00:00
po-SW-00013-1,payout-SW-00013,SYNTH-MERCHANT-SW-00013,795766,INR,SYNTHUTRSW00013,2026-07-02T10:00:00+00:00
po-SW-00014-1,payout-SW-00014,SYNTH-MERCHANT-SW-00014,795766,INR,SYNTHUTRSW00014,2026-07-02T10:00:00+00:00
po-SW-00015-1,payout-SW-00015,SYNTH-MERCHANT-SW-00015,639542,INR,SYNTHUTRSW00015,2026-07-02T10:00:00+00:00
po-SW-00016-1,payout-SW-00016,SYNTH-MERCHANT-SW-00016,639542,INR,SYNTHUTRSW00016,2026-07-02T10:00:00+00:00
po-SW-00017-1,payout-SW-00017,SYNTH-MERCHANT-SW-00017,2924318,INR,SYNTHUTRSW00017,2026-07-02T10:00:00+00:00
po-SW-00018-1,payout-SW-00018,SYNTH-MERCHANT-SW-00018,2924318,INR,SYNTHUTRSW00018,2026-07-02T10:00:00+00:00
po-SW-00019-1,payout-SW-00019,SYNTH-MERCHANT-SW-00019,419852,INR,SYNTHUTRSW00019,2026-07-02T10:00:00+00:00
po-SW-00021-1,payout-SW-00021,SYNTH-MERCHANT-SW-00021,3847016,INR,SYNTHUTRSW00021,2026-07-02T10:00:00+00:00
po-SW-00023-1,payout-SW-00023,SYNTH-MERCHANT-SW-00023,1220500,INR,SYNTHUTRSW00023,2026-07-02T10:00:00+00:00
po-SW-00025-1,payout-SW-00025,SYNTH-MERCHANT-SW-00025,3973948,INR,SYNTHUTRSW00025,2026-07-02T10:00:00+00:00
po-SW-00026-1,payout-SW-00026,SYNTH-MERCHANT-SW-00026,3973948,INR,SYNTHUTRSW00026,2026-07-02T10:00:00+00:00
po-SW-00027-1,payout-SW-00027,SYNTH-MERCHANT-SW-00027,278274,INR,SYNTHUTRSW00027,2026-07-02T10:00:00+00:00
po-SW-00028-1,payout-SW-00028,SYNTH-MERCHANT-SW-00028,278274,INR,SYNTHUTRSW00028,2026-07-02T10:00:00+00:00
po-SW-00029-1,payout-SW-00029,SYNTH-MERCHANT-SW-00029,2860852,INR,SYNTHUTRSW00029,2026-07-02T10:00:00+00:00
po-SW-00030-1,payout-SW-00030,SYNTH-MERCHANT-SW-00030,2860852,INR,SYNTHUTRSW00030,2026-07-02T10:00:00+00:00
po-SW-00031-1,payout-SW-00031,SYNTH-MERCHANT-SW-00031,2055322,INR,SYNTHUTRSW00031,2026-07-02T10:00:00+00:00
