provider_event_id,settlement_line_id,payout_id,payment_id,gross_minor,fee_minor,tax_minor,adjustment_minor,net_minor,currency,occurred_at
sl-SW-00001-1,line-SW-00001,payout-SW-00001,pay-SW-00001,4910000,98200,17676,0,4794124,INR,2026-07-02T09:00:00+00:00
sl-SW-00002-1,line-SW-00002,payout-SW-00002,pay-SW-00002,4910000,98200,17676,0,4794124,INR,2026-07-02T09:00:00+00:00
sl-SW-00003-1,line-SW-00003,payout-SW-00003,pay-SW-00003,1380000,27600,4968,0,1347432,INR,2026-07-02T09:00:00+00:00
sl-SW-00004-1,line-SW-00004,payout-SW-00004,pay-SW-00004,1380000,27600,4968,0,1347432,INR,2026-07-02T09:00:00+00:00
sl-SW-00005-1,line-SW-00005,payout-SW-00005,pay-SW-00005,3185000,63700,11466,0,3109834,INR,2026-07-02T09:00:00+00:00
sl-SW-00006-1,line-SW-00006,payout-SW-00006,pay-SW-00006,3185000,63700,11466,0,3109834,INR,2026-07-02T09:00:00+00:00
sl-SW-00007-1,line-SW-00007,payout-SW-00007,pay-SW-00007,4875000,97500,17550,0,4759950,INR,2026-07-02T09:00:00+00:00
sl-SW-00008-1,line-SW-00008,payout-SW-00008,pay-SW-00008,4875000,97500,17550,0,4759950,INR,2026-07-02T09:00:00+00:00
sl-SW-00009-1,line-SW-00009,payout-SW-00009,pay-SW-00009,4505000,90100,16218,0,4398682,INR,2026-07-02T09:00:00+00:00
sl-SW-00010-1,line-SW-00010,payout-SW-00010,pay-SW-00010,4505000,90100,16218,0,4398682,INR,2026-07-02T09:00:00+00:00
sl-SW-00011-1,line-SW-00011,payout-SW-00011,pay-SW-00011,90000,1800,324,0,87876,INR,2026-07-02T09:00:00+00:00
sl-SW-00012-1,line-SW-00012,payout-SW-00012,pay-SW-00012,90000,1800,324,0,87876,INR,2026-07-02T09:00:00+00:00
sl-SW-00013-1,line-SW-00013,payout-SW-00013,pay-SW-00013,815000,16300,2934,0,795766,INR,2026-07-02T09:00:00+00:00
sl-SW-00014-1,line-SW-00014,payout-SW-00014,pay-SW-00014,815000,16300,2934,0,795766,INR,2026-07-02T09:00:00+00:00
sl-SW-00015-1,line-SW-00015,payout-SW-00015,pay-SW-00015,655000,13100,2358,0,639542,INR,2026-07-02T09:00:00+00:00
sl-SW-00016-1,line-SW-00016,payout-SW-00016,pay-SW-00016,655000,13100,2358,0,639542,INR,2026-07-02T09:00:00+00:00
sl-SW-00017-1,line-SW-00017,payout-SW-00017,pay-SW-00017,2995000,59900,10782,0,2924318,INR,2026-07-02T09:00:00+00:00
sl-SW-00018-1,line-SW-00018,payout-SW-00018,pay-SW-00018,2995000,59900,10782,0,2924318,INR,2026-07-02T09:00:00+00:00
sl-SW-00019-1,line-SW-00019,payout-SW-00019,pay-SW-00019,430000,8600,1548,0,419852,INR,2026-07-02T09:00:00+00:00
sl-SW-00020-1,line-SW-00020,payout-SW-00020,pay-SW-00020,430000,8600,1548,0,419852,INR,2026-07-02T09:00:00+00:00
sl-SW-00021-1,line-SW-00021,payout-SW-00021,pay-SW-00021,3940000,78800,14184,0,3847016,INR,2026-07-02T09:00:00+00:00
sl-SW-00022-1,line-SW-00022,payout-SW-00022,pay-SW-00022,3940000,78800,14184,0,3847016,INR,2026-07-02T09:00:00+00:00
sl-SW-00023-1,line-SW-00023,payout-SW-00023,pay-SW-00023,1250000,25000,4500,0,1220500,INR,2026-07-02T09:00:00+00:00
sl-SW-00024-1,line-SW-00024,payout-SW-00024,pay-SW-00024,1250000,25000,4500,0,1220500,INR,2026-07-02T09:00:00+00:00
sl-SW-00025-1,line-SW-00025,payout-SW-00025,pay-SW-00025,4070000,81400,14652,0,3973948,INR,2026-07-02T09:00:00+00:00
sl-SW-00026-1,line-SW-00026,payout-SW-00026,pay-SW-00026,4070000,81400,14652,0,3973948,INR,2026-07-02T09:00:00+00:00
sl-SW-00027-1,line-SW-00027,payout-SW-00027,pay-SW-00027,285000,5700,1026,0,278274,INR,2026-07-02T09:00:00+00:00
sl-SW-00028-1,line-SW-00028,payout-SW-00028,pay-SW-00028,285000,5700,1026,0,278274,INR,2026-07-02T09:00:00+00:00
sl-SW-00029-1,line-SW-00029,payout-SW-00029,pay-SW-00029,2930000,58600,10548,0,2860852,INR,2026-07-02T09:00:00+00:00
sl-SW-00030-1,line-SW-00030,payout-SW-00030,pay-SW-00030,2930000,58600,10548,0,2860852,INR,2026-07-02T09:00:00+00:00
sl-SW-00031-1,line-SW-00031,payout-SW-00031,pay-SW-00031,2105000,42100,7578,0,2055322,INR,2026-07-02T09:00:00+00:00
sl-SW-00032-1,line-SW-00032,payout-SW-00032,pay-SW-00032,2105000,42100,7578,0,2055323,INR,2026-07-02T09:00:00+00:00
sl-SW-00033-1,line-SW-00033,payout-SW-00033,pay-SW-00033,1405000,28100,5058,0,1371842,INR,2026-07-02T09:00:00+00:00
sl-SW-00034-1,line-SW-00034,payout-SW-00034,pay-SW-00034,1405000,28100,5058,0,1371843,INR,2026-07-02T09:00:00+00:00
sl-SW-00035-1,line-SW-00035,payout-SW-00035,pay-SW-00035,2835000,56700,10206,0,2768094,INR,2026-07-02T09:00:00+00:00
sl-SW-00036-1,line-SW-00036,payout-SW-00036,pay-SW-00036,2835000,56700,10206,0,2768095,INR,2026-07-02T09:00:00+00:00
sl-SW-00037-1,line-SW-00037,payout-SW-00037,pay-SW-00037,1270000,25400,4572,0,1240028,INR,2026-07-02T09:00:00+00:00
sl-SW-00038-1,line-SW-00038,payout-SW-00038,pay-SW-00038,1270000,25400,4572,0,1240028,INR,2026-07-02T09:00:00+00:00
sl-SW-00039-1,line-SW-00039,payout-SW-00039,pay-SW-00039,4330000,86600,15588,0,4227812,INR,2026-07-02T09:00:00+00:00
sl-SW-00040-1,line-SW-00040,payout-SW-00040,pay-SW-00040,4330000,86600,15588,0,4227812,INR,2026-07-02T09:00:00+00:00
sl-SW-00041-1,line-SW-00041,payout-SW-00041,pay-SW-00041,905000,18100,3258,0,883642,INR,2026-07-02T09:00:00+00:00
sl-SW-00042-1,line-SW-00042,payout-SW-00042,pay-SW-00042,905000,18100,3258,0,883642,INR,2026-07-02T09:00:00+00:00
sl-SW-00043-1,line-SW-00043,payout-SW-00043,pay-SW-00043,720000,14400,2592,0,703008,INR,2026-07-02T09:00:00+00:00
sl-SW-00044-1,line-SW-00044,payout-SW-00044,pay-SW-00044,720000,14400,2592,0,703008,INR,2026-07-02T09:00:00+00:00
sl-SW-00045-1,line-SW-00045,payout-SW-00045,pay-SW-00045,2595000,51900,9342,0,2533758,INR,2026-07-02T09:00:00+00:00
sl-SW-00046-1,line-SW-00046,payout-SW-00046,pay-SW-00046,2595000,51900,9342,0,2533758,INR,2026-07-02T09:00:00+00:00
sl-SW-00047-1,line-SW-00047,payout-SW-00047,pay-SW-00047,3665000,73300,13194,0,3578506,INR,2026-07-02T09:00:00+00:00
sl-SW-00048-1,line-SW-00048,payout-SW-00048,pay-SW-00048,3665000,73300,13194,0,3578506,INR,2026-07-02T09:00:00+00:00
sl-SW-00049-1,line-SW-00049,payout-SW-00049,pay-SW-00049,1040000,20800,3744,0,1015456,INR,2026-07-02T09:00:00+00:00
sl-SW-00050-1,line-SW-00050,payout-SW-00050,pay-SW-00050,1040000,20800,3744,0,1015456,INR,2026-07-02T09:00:00+00:00
sl-SW-00051-1,line-SW-00051,payout-SW-00051,pay-SW-00051,3030000,60600,10908,0,2958492,INR,2026-07-02T09:00:00+00:00
sl-SW-00052-1,line-SW-00052,payout-SW-00052,pay-SW-00052,3030000,60600,10908,0,2958492,INR,2026-07-02T09:00:00+00:00
sl-SW-00053-1,line-SW-00053,payout-SW-00053,pay-SW-00053,2195000,43900,7902,0,2143198,INR,2026-07-02T09:00:00+00:00
sl-SW-00054-1,line-SW-00054,payout-SW-00054,pay-SW-00054,2195000,43900,7902,0,2143198,INR,2026-07-02T09:00:00+00:00
sl-SW-00055-1,line-SW-00055,payout-SW-00055,pay-SW-00055,4430000,88600,15948,0,4325452,INR,2026-07-02T09:00:00+00:00
sl-SW-00056-1,line-SW-00056,payout-SW-00056,pay-SW-00056,2620000,52400,9432,0,2558168,INR,2026-07-02T09:00:00+00:00
sl-SW-00057-1,line-SW-00057,payout-SW-00057,pay-SW-00057,1205000,24100,4338,0,1176562,INR,2026-07-02T09:00:00+00:00
sl-SW-00058-1,line-SW-00058,payout-SW-00058,pay-SW-00058,3895000,77900,14022,0,3803078,INR,2026-07-02T09:00:00+00:00
sl-SW-00059-1,line-SW-00059,payout-SW-00059,pay-SW-00059,2455000,49100,8838,0,2397062,INR,2026-07-02T09:00:00+00:00
